rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
species,Fungi,Glomeromycota,,,,,,,,,,,,,0.95
phylum,Fungi,GS01,,,,,,,e-26,,,,,,
species,Fungi,GS01,,,,,,,,,,,,,0.95
phylum,Fungi,Kickxellomycota,,,,,,,e-55,,,,,,
order,Fungi,Kickxellomycota,,,,,,,,,e-80,,,,
genus,Fungi,Kickxellomycota,,,,,,,,,,,,0.85,
species,Fungi,Kickxellomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Monoblepharomycota,,,,,,,e-70,,,,,,
order,Fungi,Monoblepharomycota,,,,,,,,,e-80,,,,
genus,Fungi,Monoblepharomycota,,,,,,,,,,,,0.85,
species,Fungi,Monoblepharomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Mortierellomycota,,,,,,,e-80,,,,,,
order,Fungi,Mortierellomycota,,,,,,,,,e-100,,,,
genus,Fungi,Mortierellomycota,,,,,,,,,,,,0.9,
species,Fungi,Mortierellomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Mucoromycota,,,,,,,e-70,,,,,,
order,Fungi,Mucoromycota,,,,,,,,,e-100,,,,
genus,Fungi,Mucoromycota,,,,,,,,,,,,0.9,
species,Fungi,Mucoromycota,,,,,,,,,,,,,0.95
order,Fungi,Mucoromycota,Endogonomycetes,Endogonales,,,,,,,e-100,,,,
genus,Fungi,Mucoromycota,Endogonomycetes,Endogonales,,,,,,,,,,0.85,
species,Fungi,Mucoromycota,Endogonomycetes,Endogonales,,,,,,,,,,,0.95
phylum,Fungi,Neocallimastigomycota,,,,,,,e-90,,,,,,
order,Fungi,Neocallimastigomycota,,,,,,,,,e-80,,,,
genus,Fungi,Neocallimastigomycota,,,,,,,,,,,,0.85,
species,Fungi,Neocallimastigomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Olpidiomycota,,,,,,,e-75,,,,,,
order,Fungi,Olpidiomycota,,,,,,,,,e-80,,,,
genus,Fungi,Olpidiomycota,,,,,,,,,,,,0.85,
species,Fungi,Olpidiomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Rozellomycota,,,,,,,e-56,,,,,,
order,Fungi,Rozellomycota,,,,,,,,,e-80,,,,
genus,Fungi,Rozellomycota,,,,,,,,,,,,0.85,
species,Fungi,Rozellomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Zoopagomycota,,,,,,,e-48,,,,,,
order,Fungi,Zoopagomycota,,,,,,,,,e-80,,,,
genus,Fungi,Zoopagomycota,,,,,,,,,,,,0.85,
species,Fungi,Zoopagomycota,,,,,,,,,,,,,0.95
species,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Acephala,macrosclerotiorum,,,,,,,,0.98
genus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,,,,,,,e-140,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Aleurinaceae,Aleurina,,,,,,,e-95,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,,,,,,,e-93,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Thelephoraceae,Amphinema,,,,,,,e-160,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Thelephoraceae,Tylospora,,,,,,,e-160,,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Austropaxillus,,,,,,,,0.87,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Boletopsidaceae,Boletopsis,,,,,,,,0.90,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,,,,,,,e-120,,
genus,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Byssocorticiaceae,Byssocorticium,,,,,,,e-175,,
genus,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Cantharellus,,,,,,,e-175,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Catathelasmataceae,Catathelasma,,,,,,,,0.95,
genus,Fungi,Ascomycota,Dothideomycetes,Mytilinidiales,Cenococcaceae,Cenococcum,,,,,,,,0.96,
genus,Fungi,Basidiomycota,Agaricomycetes,Ceratobasidiales,Ceratobasidiaceae,Ceratobasidium,,,,,,,e-180,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariadelphaceae,Clavariadelphus,,,,,,,e-180,,
genus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Hymenochaetaceae,Coltricia,,,,,,,e-95,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,,,,,,e-150,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Densospora,,,,,,,e-150,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Descoleaceae,Descolea,,,,,,,e-170,,
genus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,,,,,,,e-140,,
genus,Fungi,Zygomycota,Mucoromycetes,Endogonales,Endogonaceae,Endogone,,,,,,,e-150,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,,,,,,,e-180,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Galactinia,,,,,,,e-150,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Unknown,Genea,,,,,,,e-80,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Humaria,,,,,,,e-80,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,,,,,,,e-180,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Guyanagoricaceae,Guyanagarica,,,,,,,e-160,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hebelomataceae,Hebeloma,,,,,,,e-120,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Alnicola,,,,,,,e-120,,
genus,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,,,,,,,,0.97,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Hydnellaceae,Hydnellum,,,,,,,e-140,,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Hydnellaceae,Sarcodon,,,,,,,e-140,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Hydnotrya,,,,,,,,0.87,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,,,,,,,e-120,,
