qseqid,kingdom,phylum,class,order,family,genus,species,notes
"81d1bdfb4e7328e51cfff2e5bec369c0","Fungi","Ascomycota","Leotiomycetes","Helotiales","Pezizellaceae","Chalara","Unclassified","ITS pipeline completed"
"81d83da46dc8b2b8907bf38d676d0094",NA,NA,NA,NA,NA,NA,NA,"Failed QC: no BLAST result passed Quality Control step (no BLAST result, too many N, alignment too short, low quality results)"
"821d5f17da3c3df0b7c3d7e949c12f38","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apiosordaria","Unclassified","ITS pipeline completed"
"8233db87a65536217c2e93877e5bbc92","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Unclassified","Dioszegia","Unclassified","ITS pipeline completed"
"823518c647698c363cd011aa8d358fed",NA,NA,NA,NA,NA,NA,NA,"Failed QC: no BLAST result passed Quality Control step (no BLAST result, too many N, alignment too short, low quality results)"
"824fb8cb13b3ae664e7551985276c1de","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","Pseudeurotium desertorum","ITS pipeline completed"
"82642be4ff3da530addf5929d45a6ad8","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"82674244ad62a51907a8314ea53f9915","Fungi","Ascomycota","Dothideomycetes","Dothideales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"82743c914a7644b7ff07a3fbc090cd04","Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"82860b2550da1a0fb05ecd8d2d798d37","Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"82861225f604068c4a987b1635743519","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Thalloidima","Thalloidima physaroides","ITS pipeline completed"
"82873b11e7501c6f3022a7969ec9828b","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Oehlia","Unclassified","ITS pipeline completed"
"829ae4d20cecc14255708b916aba8a3a","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha","Sarcoscypha austriaca","ITS pipeline completed"
"829f712ff904c19d1a1edb770f1350d9","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Unclassified","Unclassified","ITS pipeline completed"
"82a5627974912cd853657c8d1128134d","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Unclassified","Unclassified","ITS pipeline completed"
"82a60d08de0f3847afe60b5e7b899217","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"82b5d3850438da9e6953f1b3767b98e1","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Zygorhynchus","Unclassified","ITS pipeline completed"
"82c81220a9014f5b570906f3f2cae422","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces","Geomyces auratus","ITS pipeline completed"
"82d3e24954686703bb34f80efced5e2d","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"82d7ccdba8a86b3e02a1a07d0d72664c","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
